"107年08月24日每5秒委託成交統計"
"時間","累積委託買進筆數","累積委託買進數量","累積委託賣出筆數","累積委託賣出數量","累積成交筆數","累積成交數量","累積成交金額",
"11:24:20","2,901,073","21,185,772","3,261,881","12,622,167","503,535","2,885,113","61,063",
"11:24:25","2,902,017","21,180,729","3,263,067","12,601,725","503,648","2,885,406","61,073",
"11:24:30","2,903,401","21,157,229","3,264,537","12,579,596","503,805","2,885,858","61,089",
"11:24:35","2,904,803","21,173,468","3,266,104","12,631,029","503,960","2,886,433","61,101",
"11:24:40","2,905,650","21,191,902","3,267,127","12,633,493","504,127","2,886,991","61,116",
"11:24:45","2,906,082","21,197,658","3,267,812","12,642,931","504,268","2,887,333","61,129",
"11:24:50","2,906,815","21,199,480","3,268,658","12,654,921","504,387","2,887,850","61,139",
"11:24:55","2,907,400","21,194,647","3,269,425","12,637,058","504,487","2,888,067","61,149",
"11:25:00","2,908,235","21,191,842","3,270,547","12,644,741","504,614","2,889,123","61,161",
"11:25:05","2,908,970","21,195,557","3,271,434","12,644,409","504,799","2,889,467","61,176",
"11:25:10","2,910,283","21,174,720","3,272,834","12,636,518","504,930","2,890,050","61,188",
"11:25:15","2,911,560","21,190,002","3,274,220","12,650,270","505,077","2,890,435","61,210",
"11:25:20","2,912,176","21,208,252","3,275,035","12,655,023","505,199","2,890,702","61,223",
"11:25:25","2,912,841","21,193,925","3,275,924","12,637,654","505,326","2,891,594","61,236",
"11:25:30","2,913,719","21,186,455","3,277,017","12,645,353","505,450","2,891,935","61,248",
"11:25:35","2,914,518","21,209,468","3,277,869","12,649,858","505,589","2,892,303","61,266",
"11:25:40","2,915,623","21,192,917","3,279,001","12,636,097","505,730","2,892,749","61,280",
"11:25:45","2,916,749","21,196,722","3,280,220","12,638,900","505,862","2,893,187","61,291",
"11:25:50","2,918,140","21,201,390","3,281,811","12,629,024","506,061","2,893,940","61,311",
"11:25:55","2,919,068","21,211,781","3,282,920","12,614,557","506,210","2,894,366","61,326",
"11:26:00","2,920,156","21,212,878","3,284,073","12,615,549","506,333","2,894,852","61,340",
"11:26:05","2,920,996","21,208,588","3,285,374","12,622,263","506,487","2,895,425","61,358",
"11:26:10","2,922,083","21,207,392","3,286,653","12,619,395","506,677","2,897,832","61,383",
"11:26:15","2,923,029","21,202,770","3,287,895","12,633,155","506,781","2,898,182","61,395",
"11:26:20","2,923,789","21,201,071","3,288,970","12,633,094","506,972","2,899,079","61,418",
"11:26:25","2,924,604","21,197,871","3,290,073","12,630,605","507,126","2,899,505","61,431",
"11:26:30","2,925,365","21,194,634","3,290,990","12,631,051","507,237","2,899,825","61,440",
"11:26:35","2,926,051","21,205,026","3,291,903","12,643,149","507,345","2,900,030","61,451",
"11:26:40","2,927,167","21,202,903","3,293,100","12,648,382","507,478","2,900,374","61,465",
"11:26:45","2,927,719","21,209,674","3,293,818","12,660,186","507,614","2,900,801","61,477",
"11:26:50","2,928,366","21,211,492","3,294,724","12,649,133","507,838","2,901,489","61,492",
"11:26:55","2,929,024","21,212,410","3,295,654","12,661,289","507,975","2,901,902","61,505",
"11:27:00","2,929,972","21,187,394","3,296,733","12,626,942","510,053","2,911,147","61,642",
"11:27:05","2,931,027","21,197,252","3,297,846","12,650,688","510,245","2,911,649","61,655",
"11:27:10","2,932,052","21,191,861","3,299,021","12,646,662","510,795","2,913,369","61,689",
"11:27:15","2,932,707","21,202,245","3,299,816","12,652,681","510,910","2,913,686","61,698",
"11:27:20","2,933,793","21,195,729","3,301,103","12,650,683","511,054","2,914,166","61,708",
"11:27:25","2,934,584","21,205,568","3,302,106","12,659,025","511,134","2,914,413","61,715",
"11:27:30","2,935,453","21,198,169","3,303,182","12,660,101","511,264","2,914,968","61,727",
"11:27:35","2,936,106","21,211,337","3,303,971","12,671,310","511,378","2,915,656","61,741",
"11:27:40","2,936,710","21,209,788","3,304,804","12,673,325","511,500","2,916,233","61,754",
"11:27:45","2,937,291","21,212,709","3,305,614","12,659,493","511,646","2,917,284","61,770",
"11:27:50","2,937,790","21,209,044","3,306,417","12,665,051","511,770","2,917,533","61,780",
"11:27:55","2,938,519","21,213,532","3,307,336","12,671,729","511,879","2,917,858","61,791",
"11:28:00","2,939,239","21,207,739","3,308,217","12,666,862","511,980","2,918,524","61,805",
"11:28:05","2,940,139","21,201,859","3,309,267","12,675,273","512,077","2,918,818","61,814",
"11:28:10","2,940,772","21,213,414","3,310,031","12,658,850","512,192","2,919,305","61,823",
"11:28:15","2,941,488","21,212,852","3,310,891","12,669,546","512,310","2,920,029","61,837",
"11:28:20","2,942,051","21,221,295","3,311,511","12,669,526","512,423","2,920,345","61,847",
"11:28:25","2,942,591","21,212,381","3,312,206","12,675,171","512,544","2,920,663","61,858",
"11:28:30","2,943,205","21,215,817","3,312,871","12,670,514","512,679","2,921,344","61,871",
"11:28:35","2,943,738","21,218,836","3,313,537","12,673,627","512,811","2,921,876","61,885",
"11:28:40","2,944,406","21,218,273","3,314,420","12,674,303","512,946","2,922,549","61,897",
"11:28:45","2,945,022","21,215,461","3,315,214","12,672,964","513,100","2,923,048","61,914",
"11:28:50","2,945,882","21,204,493","3,316,322","12,661,152","513,278","2,923,625","61,931",
"11:28:55","2,946,435","21,215,460","3,317,186","12,675,069","513,387","2,924,010","61,942",
"11:29:00","2,947,109","21,225,875","3,317,989","12,676,775","513,477","2,924,221","61,952",
"11:29:05","2,948,358","21,226,455","3,319,395","12,679,779","513,646","2,925,011","61,977",
"11:29:10","2,949,268","21,213,614","3,320,346","12,684,078","513,804","2,925,571","61,996",
"11:29:15","2,950,207","21,224,283","3,321,466","12,679,120","513,902","2,926,071","62,004",
"11:29:20","2,951,131","21,211,428","3,322,479","12,664,050","514,048","2,926,597","62,019",
"11:29:25","2,952,045","21,236,690","3,323,555","12,692,324","514,140","2,926,856","62,027",
"11:29:30","2,952,518","21,236,249","3,324,156","12,689,503","514,277","2,927,273","62,038",
"11:29:35","2,953,102","21,238,708","3,324,872","12,696,220","514,440","2,927,891","62,059",
"11:29:40","2,953,930","21,241,936","3,326,010","12,670,767","514,558","2,928,414","62,074",
"11:29:45","2,954,815","21,210,525","3,327,025","12,673,501","514,735","2,929,004","62,094",
"11:29:50","2,955,385","21,221,154","3,327,833","12,681,331","514,878","2,929,666","62,116",
"11:29:55","2,955,907","21,219,507","3,328,592","12,673,615","515,038","2,930,085","62,129",
"11:30:00","2,956,666","21,229,147","3,329,451","12,682,410","515,143","2,930,348","62,136",
"11:30:05","2,957,474","21,230,375","3,330,494","12,687,980","515,316","2,931,127","62,151",
"11:30:10","2,958,010","21,235,436","3,331,280","12,685,168","515,421","2,931,470","62,162",
"11:30:15","2,958,669","21,230,811","3,332,221","12,687,520","515,544","2,932,287","62,174",
"11:30:20","2,959,818","21,222,823","3,333,373","12,680,162","515,678","2,932,680","62,192",
"11:30:25","2,960,546","21,223,369","3,334,273","12,688,865","515,793","2,932,938","62,204",
"11:30:30","2,961,578","21,212,727","3,335,452","12,689,924","515,935","2,933,399","62,227",
"11:30:35","2,962,393","21,215,382","3,336,415","12,691,446","516,067","2,933,776","62,242",
"11:30:40","2,963,142","21,226,792","3,337,396","12,687,721","516,228","2,934,221","62,258",
"11:30:45","2,963,997","21,228,204","3,338,348","12,680,171","516,329","2,934,480","62,269",
"11:30:50","2,964,737","21,222,969","3,339,388","12,682,369","516,457","2,935,404","62,281",
"11:30:55","2,965,278","21,235,023","3,340,082","12,685,372","516,589","2,935,792","62,293",
"11:31:00","2,966,061","21,239,248","3,341,095","12,688,668","516,677","2,936,056","62,300",
"11:31:05","2,966,833","21,240,027","3,342,120","12,692,867","516,894","2,936,621","62,322",
"11:31:10","2,967,494","21,227,816","3,343,044","12,689,391","517,036","2,936,995","62,339",
"11:31:15","2,967,997","21,230,371","3,343,691","12,690,711","517,168","2,937,469","62,348",
"11:31:20","2,968,784","21,231,095","3,344,570","12,683,532","517,277","2,937,900","62,358",
"11:31:25","2,969,342","21,243,503","3,345,381","12,687,204","517,371","2,938,194","62,365",
"11:31:30","2,970,375","21,237,856","3,346,529","12,686,805","517,493","2,938,542","62,373",
"11:31:35","2,971,248","21,227,100","3,347,470","12,688,038","517,614","2,938,859","62,382",
"11:31:40","2,971,857","21,236,535","3,348,336","12,694,869","517,742","2,939,077","62,400",
"11:31:45","2,972,613","21,230,819","3,349,238","12,706,020","517,859","2,939,524","62,412",
"11:31:50","2,973,173","21,236,083","3,350,002","12,711,617","518,037","2,940,212","62,431",
"11:31:55","2,973,803","21,242,654","3,350,821","12,719,855","518,177","2,941,007","62,450",
"11:32:00","2,974,281","21,242,189","3,351,523","12,705,851","518,317","2,941,664","62,463",
"11:32:05","2,974,849","21,227,083","3,352,309","12,704,197","518,526","2,942,855","62,495",
"11:32:10","2,975,400","21,229,469","3,352,917","12,702,282","518,667","2,943,203","62,513",
"11:32:15","2,976,532","21,236,961","3,354,120","12,700,463","518,793","2,943,932","62,528",
"11:32:20","2,977,337","21,240,705","3,355,155","12,709,813","518,917","2,944,658","62,540",
"11:32:25","2,977,903","21,251,901","3,355,853","12,710,810","519,035","2,944,997","62,551",
"11:32:30","2,978,531","21,241,829","3,356,713","12,713,637","519,210","2,945,663","62,578",
"11:32:35","2,979,006","21,240,533","3,357,475","12,713,863","519,318","2,946,295","62,594",
"11:32:40","2,980,061","21,235,652","3,358,716","12,702,082","519,467","2,946,701","62,616",
"11:32:45","2,980,907","21,162,585","3,359,867","12,695,500","519,629","2,947,220","62,664",
"11:32:50","2,982,018","21,151,124","3,361,190","12,676,085","519,759","2,947,558","62,679",
"11:32:55","2,982,743","21,225,132","3,362,205","12,706,748","519,897","2,947,900","62,696",
"11:33:00","2,983,320","21,245,045","3,363,002","12,713,596","520,036","2,948,389","62,715",
"11:33:05","2,984,096","21,242,005","3,363,943","12,716,505","520,165","2,948,688","62,728",
"11:33:10","2,984,690","21,247,896","3,364,683","12,721,445","520,294","2,949,616","62,745",
"11:33:15","2,985,057","21,245,470","3,365,273","12,722,691","520,404","2,950,009","62,756",
"11:33:20","2,985,487","21,247,082","3,365,945","12,720,154","520,509","2,950,423","62,766",
"11:33:25","2,986,799","21,241,744","3,367,263","12,705,795","520,632","2,950,675","62,778",
"11:33:30","2,987,435","21,253,137","3,368,096","12,717,249","520,828","2,951,439","62,794",
"11:33:35","2,988,101","21,260,315","3,368,911","12,717,310","520,933","2,951,680","62,805",
"11:33:40","2,988,968","21,259,925","3,369,890","12,724,253","521,092","2,952,557","62,821",
"11:33:45","2,989,875","21,254,059","3,370,861","12,722,112","521,208","2,952,890","62,833",
"11:33:50","2,990,930","21,253,725","3,372,076","12,723,396","521,347","2,953,234","62,847",
"11:33:55","2,991,617","21,247,393","3,372,882","12,725,099","521,474","2,953,550","62,857",
"11:34:00","2,992,473","21,252,146","3,373,962","12,715,713","521,568","2,953,885","62,864",
"11:34:05","2,993,176","21,253,438","3,374,969","12,723,053","521,715","2,954,375","62,876",
"11:34:10","2,993,779","21,242,545","3,375,898","12,700,955","521,851","2,954,789","62,887",
"11:34:15","2,994,653","21,252,442","3,376,770","12,708,332","521,945","2,955,295","62,894",
"11:34:20","2,995,447","21,240,549","3,377,711","12,729,283","522,093","2,956,314","62,912",
"11:34:25","2,996,338","21,252,265","3,378,768","12,726,794","522,311","2,958,583","62,946",
"11:34:30","2,996,919","21,252,182","3,379,612","12,737,961","522,444","2,958,881","62,957",
"11:34:35","2,997,511","21,253,089","3,380,568","12,731,496","522,580","2,959,170","62,968",
"11:34:40","2,998,176","21,249,991","3,381,546","12,734,971","522,709","2,959,669","62,980",
"11:34:45","2,998,997","21,245,817","3,382,532","12,736,345","522,838","2,960,184","62,992",
"11:34:50","2,999,697","21,224,390","3,383,392","12,712,955","522,990","2,960,882","63,005",
"11:34:55","3,000,482","21,243,425","3,384,366","12,728,286","523,118","2,961,459","63,016",
"11:35:00","3,001,358","21,244,560","3,385,486","12,732,812","523,196","2,961,832","63,028",
"11:35:05","3,002,406","21,211,853","3,386,783","12,727,841","523,353","2,962,724","63,057",
"11:35:10","3,003,204","21,219,103","3,387,801","12,723,897","523,613","2,965,210","63,078",
"11:35:15","3,004,427","21,220,787","3,389,257","12,710,548","523,723","2,965,474","63,091",
"11:35:20","3,004,962","21,229,471","3,389,999","12,717,404","523,819","2,965,893","63,099",
"11:35:25","3,005,557","21,228,403","3,390,800","12,731,048","523,946","2,966,269","63,111",
"11:35:30","3,006,662","21,226,195","3,392,091","12,684,996","524,106","2,966,616","63,126",
"11:35:35","3,007,450","21,226,547","3,393,189","12,689,634","524,247","2,967,197","63,141",
"11:35:40","3,008,203","21,229,975","3,394,488","12,705,359","524,446","2,967,718","63,157",
"11:35:45","3,008,928","21,254,367","3,395,393","12,711,675","524,550","2,967,953","63,168",
"11:35:50","3,009,629","21,243,963","3,396,470","12,749,278","524,747","2,969,786","63,188",
"11:35:55","3,010,205","21,253,608","3,397,283","12,761,271","524,924","2,970,667","63,201",
"11:36:00","3,010,874","21,241,170","3,398,218","12,743,295","525,049","2,971,040","63,210",
"11:36:05","3,011,467","21,252,312","3,399,042","12,753,738","525,206","2,971,943","63,224",
"11:36:10","3,012,408","21,239,997","3,400,214","12,743,756","525,357","2,972,518","63,241",
"11:36:15","3,012,906","21,242,560","3,401,248","12,749,511","525,526","2,973,427","63,253",
"11:36:20","3,013,737","21,218,128","3,402,250","12,726,520","525,661","2,974,942","63,263",
"11:36:25","3,014,505","21,249,704","3,403,330","12,732,427","525,799","2,975,375","63,272",
"11:36:30","3,015,373","21,258,778","3,404,445","12,736,343","525,933","2,975,683","63,281",
"11:36:35","3,016,082","21,264,531","3,405,284","12,750,264","526,151","2,976,730","63,298",
"11:36:40","3,016,916","21,275,074","3,406,328","12,753,773","526,344","2,977,840","63,313",
"11:36:45","3,017,606","21,273,369","3,407,272","12,754,491","526,488","2,978,314","63,325",
"11:36:50","3,018,127","21,285,482","3,407,975","12,756,534","526,583","2,978,596","63,332",
"11:36:55","3,018,528","21,273,653","3,408,626","12,759,256","526,705","2,978,861","63,340",
"11:37:00","3,019,297","21,269,722","3,409,583","12,754,749","526,826","2,979,391","63,351",
"11:37:05","3,019,756","21,266,387","3,410,254","12,746,011","526,939","2,979,603","63,359",
"11:37:10","3,020,395","21,275,074","3,411,067","12,756,211","527,102","2,980,249","63,375",
"11:37:15","3,021,088","21,269,910","3,412,267","12,743,556","527,247","2,980,723","63,386",
"11:37:20","3,021,653","21,281,603","3,413,083","12,761,625","527,369","2,981,040","63,395",
"11:37:25","3,022,160","21,276,266","3,413,856","12,765,249","527,487","2,981,350","63,404",
"11:37:30","3,022,691","21,282,103","3,414,473","12,772,374","527,608","2,981,716","63,413",
"11:37:35","3,023,314","21,276,780","3,415,262","12,774,640","527,758","2,982,058","63,425",
"11:37:40","3,023,990","21,273,096","3,416,231","12,769,971","527,869","2,982,278","63,438",
"11:37:45","3,024,536","21,278,311","3,416,997","12,783,447","527,983","2,982,735","63,447",
"11:37:50","3,025,376","21,229,236","3,418,095","12,752,441","528,213","2,983,361","63,472",
"11:37:55","3,026,013","21,239,044","3,418,900","12,750,695","528,355","2,983,867","63,489",
"11:38:00","3,026,565","21,276,452","3,419,722","12,765,250","528,478","2,984,467","63,500",
"11:38:05","3,027,462","21,264,224","3,420,667","12,762,025","528,611","2,985,557","63,515",
"11:38:10","3,027,912","21,275,982","3,421,385","12,763,576","528,752","2,986,002","63,529",
"11:38:15","3,028,548","21,259,585","3,422,171","12,754,262","528,846","2,986,550","63,537",
"11:38:20","3,029,197","21,271,022","3,422,966","12,758,557","528,936","2,986,805","63,547",
"11:38:25","3,029,740","21,271,308","3,423,744","12,753,490","529,086","2,987,275","63,558",
"11:38:30","3,030,425","21,274,339","3,424,617","12,753,205","529,252","2,988,073","63,574",
"11:38:35","3,030,817","21,267,819","3,425,184","12,750,056","529,360","2,988,317","63,583",
"11:38:40","3,031,502","21,276,124","3,426,035","12,762,211","529,511","2,988,760","63,603",
"11:38:45","3,032,092","21,285,735","3,426,802","12,754,308","529,679","2,989,277","63,620",
"11:38:50","3,032,723","21,264,013","3,427,819","12,744,184","529,845","2,989,802","63,634",
"11:38:55","3,033,264","21,278,341","3,428,706","12,754,317","529,967","2,990,058","63,644",
"11:39:00","3,033,656","21,287,419","3,429,416","12,759,902","530,106","2,990,399","63,654",
"11:39:05","3,034,542","21,280,190","3,430,535","12,753,294","530,260","2,990,692","63,669",
"11:39:10","3,035,191","21,274,221","3,431,422","12,739,613","530,477","2,992,013","63,691",
"11:39:15","3,035,759","21,290,877","3,432,279","12,745,985","530,605","2,992,277","63,705",
"11:39:20","3,036,673","21,295,106","3,433,270","12,749,262","530,701","2,992,845","63,716",
"11:39:25","3,037,506","21,282,528","3,434,236","12,751,679","530,877","2,993,300","63,732",
"11:39:30","3,038,425","21,267,375","3,435,345","12,742,057","530,994","2,993,561","63,743",
"11:39:35","3,038,980","21,296,620","3,436,055","12,750,194","531,111","2,994,384","63,755",
"11:39:40","3,039,752","21,299,868","3,437,174","12,767,827","531,306","2,995,678","63,773",
"11:39:45","3,040,635","21,271,048","3,438,334","12,764,892","531,498","2,997,257","63,790",
"11:39:50","3,041,478","21,268,202","3,439,404","12,757,534","531,656","2,997,685","63,807",
"11:39:55","3,042,040","21,246,783","3,440,178","12,757,010","531,882","2,998,965","63,825",
"11:40:00","3,042,625","21,269,533","3,440,883","12,760,586","532,006","2,999,365","63,841",
"11:40:05","3,043,336","21,285,659","3,441,828","12,775,857","532,161","2,999,925","63,856",
"11:40:10","3,044,080","21,253,792","3,442,807","12,771,643","532,328","3,000,305","63,871",
"11:40:15","3,044,789","21,255,892","3,443,693","12,772,207","532,476","3,000,657","63,885",
"11:40:20","3,045,546","21,249,447","3,444,629","12,766,781","532,736","3,004,664","63,925",
"11:40:25","3,046,760","21,228,267","3,446,064","12,764,400","533,237","3,007,568","63,979",
"11:40:30","3,047,782","21,211,413","3,447,418","12,747,715","533,455","3,008,119","63,999",
"11:40:35","3,048,836","21,226,833","3,448,592","12,760,136","533,649","3,009,299","64,019",
"11:40:40","3,049,934","21,232,090","3,449,932","12,762,948","533,846","3,010,178","64,037",
"11:40:45","3,050,596","21,264,003","3,450,784","12,776,408","533,999","3,010,591","64,051",
"11:40:50","3,051,293","21,270,313","3,451,647","12,760,700","534,234","3,011,978","64,069",
"11:40:55","3,051,968","21,279,486","3,452,543","12,765,477","534,448","3,012,669","64,088",
"11:41:00","3,052,805","21,297,852","3,453,599","12,767,201","534,638","3,013,619","64,116",
"11:41:05","3,053,764","21,294,861","3,454,679","12,775,640","534,856","3,014,188","64,137",
"11:41:10","3,054,735","21,272,167","3,455,767","12,774,699","535,043","3,015,602","64,157",
"11:41:15","3,055,515","21,279,289","3,456,760","12,777,634","535,221","3,016,417","64,173",
"11:41:20","3,056,244","21,289,075","3,457,625","12,790,380","535,385","3,016,856","64,184",
"11:41:25","3,056,927","21,289,100","3,458,514","12,773,410","535,536","3,017,557","64,197",
"11:41:30","3,057,704","21,299,568","3,459,455","12,785,988","535,682","3,018,304","64,210",
"11:41:35","3,058,454","21,292,579","3,460,406","12,779,706","535,799","3,018,605","64,224",
"11:41:40","3,059,019","21,304,599","3,461,264","12,786,307","535,974","3,019,437","64,242",
"11:41:45","3,059,643","21,291,577","3,462,093","12,783,075","536,148","3,020,193","64,257",
"11:41:50","3,060,560","21,298,622","3,463,190","12,793,552","536,286","3,020,881","64,270",
"11:41:55","3,061,143","21,316,072","3,463,942","12,791,532","536,431","3,021,611","64,284",
"11:42:00","3,061,758","21,316,594","3,464,702","12,798,060","536,533","3,021,873","64,298",
"11:42:05","3,062,757","21,310,579","3,465,950","12,802,430","536,676","3,022,419","64,313",
"11:42:10","3,063,580","21,318,479","3,466,912","12,790,922","536,795","3,022,787","64,326",
"11:42:15","3,064,046","21,320,200","3,467,744","12,795,537","536,926","3,023,247","64,335",
"11:42:20","3,064,477","21,318,652","3,468,395","12,795,091","537,078","3,023,580","64,346",
"11:42:25","3,065,186","21,311,845","3,469,392","12,799,468","537,193","3,024,129","64,354",
"11:42:30","3,065,807","21,319,570","3,470,249","12,796,697","537,310","3,024,321","64,364",
"11:42:35","3,066,352","21,312,723","3,470,995","12,794,598","537,435","3,025,231","64,373",
"11:42:40","3,066,823","21,314,150","3,471,761","12,789,301","537,561","3,025,527","64,383",
"11:42:45","3,067,614","21,306,977","3,472,704","12,796,734","537,690","3,025,777","64,409",
"11:42:50","3,068,067","21,304,564","3,473,353","12,798,386","537,834","3,026,192","64,422",
"11:42:55","3,069,118","21,297,246","3,474,611","12,789,325","537,936","3,026,610","64,438",
"11:43:00","3,070,212","21,308,942","3,475,824","12,798,158","538,095","3,027,081","64,483",
"11:43:05","3,070,988","21,312,446","3,476,824","12,795,017","538,299","3,027,437","64,522",
"11:43:10","3,071,794","21,310,971","3,477,890","12,798,817","538,485","3,028,028","64,570",
"11:43:15","3,072,526","21,319,071","3,478,931","12,796,140","538,632","3,028,345","64,599",
"11:43:20","3,073,304","21,318,272","3,479,897","12,799,630","538,796","3,029,004","64,638",
"11:43:25","3,074,300","21,313,094","3,481,136","12,786,063","538,967","3,029,416","64,679",
"11:43:30","3,075,387","21,311,990","3,482,274","12,792,087","539,127","3,029,823","64,706",
"11:43:35","3,076,524","21,300,294","3,483,712","12,763,729","539,322","3,031,030","64,755",
"11:43:40","3,077,199","21,307,898","3,484,952","12,780,820","539,499","3,031,651","64,799",
"11:43:45","3,078,301","21,312,408","3,486,188","12,795,507","539,672","3,032,417","64,829",
"11:43:50","3,079,053","21,302,947","3,487,206","12,795,013","539,816","3,032,727","64,848",
"11:43:55","3,079,811","21,310,977","3,488,190","12,790,781","540,036","3,033,302","64,892",
"11:44:00","3,080,461","21,320,291","3,489,029","12,797,220","540,187","3,033,603","64,915",
"11:44:05","3,081,618","21,293,245","3,490,358","12,793,736","540,434","3,034,555","64,960",
"11:44:10","3,082,312","21,294,323","3,491,223","12,809,267","540,678","3,035,461","64,992",
"11:44:15","3,083,257","21,308,894","3,492,281","12,806,931","540,932","3,036,061","65,031",
"11:44:20","3,083,932","21,259,431","3,493,192","12,787,624","541,177","3,036,709","65,077",
"11:44:25","3,084,594","21,257,967","3,494,045","12,801,625","541,448","3,037,539","65,115",
"11:44:30","3,085,725","21,297,447","3,495,448","12,807,644","541,657","3,038,702","65,155",
"11:44:35","3,087,038","21,292,102","3,496,974","12,810,159","542,051","3,039,648","65,208",
"11:44:40","3,088,395","21,289,431","3,498,475","12,803,103","542,318","3,040,314","65,266",
"11:44:45","3,089,008","21,306,651","3,499,390","12,815,185","542,568","3,040,938","65,318",
"11:44:50","3,089,989","21,309,636","3,500,731","12,806,364","542,893","3,049,651","65,370",
"11:44:55","3,090,992","21,308,419","3,501,892","12,810,067","543,089","3,050,063","65,397",
"11:45:00","3,092,150","21,311,500","3,503,224","12,824,026","543,311","3,050,657","65,438",
"11:45:05","3,093,102","21,309,385","3,504,340","12,816,237","543,523","3,051,198","65,465",
"11:45:10","3,094,199","21,311,451","3,505,538","12,809,937","543,819","3,052,015","65,494",
"11:45:15","3,095,078","21,306,917","3,506,740","12,813,238","543,957","3,052,296","65,511",
"11:45:20","3,096,248","21,319,283","3,507,963","12,818,912","544,151","3,053,512","65,544",
"11:45:25","3,096,775","21,333,723","3,508,775","12,824,056","544,295","3,053,928","65,566",
"11:45:30","3,097,592","21,338,612","3,509,794","12,816,128","544,457","3,054,222","65,584",
"11:45:35","3,098,697","21,317,601","3,511,131","12,785,885","544,665","3,054,749","65,609",
"11:45:40","3,099,872","21,314,238","3,512,603","12,806,058","544,892","3,055,386","65,630",
"11:45:45","3,100,675","21,327,294","3,513,629","12,813,808","545,052","3,055,687","65,647",
"11:45:50","3,101,405","21,262,574","3,514,550","12,798,612","545,232","3,056,029","65,670",
"11:45:55","3,102,022","21,277,271","3,515,448","12,799,960","545,363","3,056,325","65,684",
"11:46:00","3,102,614","21,337,239","3,516,325","12,816,451","545,509","3,056,746","65,698",
"11:46:05","3,103,311","21,338,914","3,517,262","12,823,690","545,710","3,057,173","65,721",
"11:46:10","3,103,805","21,344,926","3,518,073","12,829,712","545,822","3,057,676","65,741",
"11:46:15","3,104,368","21,351,247","3,518,807","12,827,140","545,975","3,058,341","65,762",
"11:46:20","3,105,116","21,342,878","3,519,835","12,826,784","546,109","3,058,627","65,775",
"11:46:25","3,106,331","21,338,232","3,521,073","12,822,515","546,240","3,059,251","65,799",
"11:46:30","3,107,361","21,338,507","3,522,243","12,814,891","546,393","3,059,871","65,828",
"11:46:35","3,108,392","21,331,923","3,523,453","12,828,962","546,576","3,060,356","65,858",
"11:46:40","3,109,150","21,336,506","3,524,360","12,841,132","546,787","3,060,831","65,882",
"11:46:45","3,109,847","21,332,888","3,525,212","12,826,163","546,975","3,061,630","65,913",
"11:46:50","3,111,120","21,320,356","3,526,518","12,822,501","547,169","3,062,048","65,951",
"11:46:55","3,112,227","21,323,077","3,527,778","12,818,256","547,351","3,062,567","65,985",
"11:47:00","3,113,233","21,328,984","3,529,122","12,805,241","547,525","3,063,199","66,006",
"11:47:05","3,113,931","21,338,160","3,530,086","12,818,169","547,637","3,063,370","66,016",
"11:47:10","3,114,654","21,337,731","3,530,842","12,799,304","547,785","3,063,761","66,032",
"11:47:15","3,115,917","21,319,922","3,532,348","12,798,681","547,988","3,064,434","66,054",
"11:47:20","3,116,714","21,337,396","3,533,273","12,804,959","548,141","3,064,939","66,074",
"11:47:25","3,117,448","21,332,991","3,534,197","12,814,593","548,299","3,065,334","66,091",
"11:47:30","3,117,942","21,334,211","3,534,929","12,823,484","548,444","3,065,807","66,106",
"11:47:35","3,118,535","21,346,059","3,535,761","12,824,164","548,592","3,066,191","66,120",
"11:47:40","3,119,334","21,354,503","3,536,849","12,828,663","548,798","3,067,317","66,144",
"11:47:45","3,120,169","21,327,781","3,537,864","12,817,240","548,955","3,067,720","66,161",
"11:47:50","3,120,896","21,331,737","3,538,789","12,830,231","549,071","3,068,044","66,178",
"11:47:55","3,121,531","21,333,614","3,539,587","12,823,103","549,200","3,068,345","66,193",
"11:48:00","3,122,096","21,334,982","3,540,368","12,826,184","549,323","3,068,844","66,209",
"11:48:05","3,122,828","21,329,512","3,541,265","12,820,779","549,464","3,069,129","66,226",
"11:48:10","3,123,662","21,336,221","3,542,278","12,820,465","549,577","3,069,504","66,237",
"11:48:15","3,124,302","21,363,032","3,543,179","12,828,726","549,747","3,070,285","66,252",
"11:48:20","3,124,961","21,364,645","3,544,045","12,827,459","549,922","3,070,737","66,273",
"11:48:25","3,125,714","21,355,828","3,544,950","12,816,118","550,066","3,071,092","66,292",
"11:48:30","3,126,477","21,362,682","3,545,805","12,819,871","550,190","3,071,499","66,313",
"11:48:35","3,127,623","21,343,149","3,547,264","12,805,925","550,423","3,072,077","66,338",
"11:48:40","3,128,533","21,354,091","3,548,452","12,824,076","550,564","3,072,607","66,354",
"11:48:45","3,129,473","21,344,943","3,549,424","12,808,071","550,749","3,074,130","66,371",
"11:48:50","3,130,553","21,369,777","3,550,537","12,829,627","550,909","3,074,539","66,384",
"11:48:55","3,131,276","21,370,439","3,551,427","12,834,823","551,056","3,074,919","66,399",
"11:49:00","3,132,260","21,360,680","3,552,648","12,816,086","551,235","3,075,822","66,424",
"11:49:05","3,132,784","21,365,769","3,553,410","12,837,018","551,414","3,076,348","66,456",
"11:49:10","3,133,410","21,364,293","3,554,232","12,818,209","551,577","3,076,890","66,485",
"11:49:15","3,133,918","21,375,199","3,554,894","12,838,000","551,713","3,077,165","66,498",
"11:49:20","3,134,627","21,359,493","3,555,711","12,838,640","551,848","3,077,845","66,518",
"11:49:25","3,135,393","21,367,233","3,556,523","12,834,562","551,966","3,078,153","66,529",
